# 5 kg/s Parallel,10 kg/s Parallel,15 kg/s Parallel,20 kg/s Parallel,25 kg/s Parallel,30 kg/s Parallel,35 kg/s Parallel,40 kg/s Parallel,45 kg/s Parallel,50 kg/s Parallel,5 kg/s Non-Parallel,10 kg/s Non-Parallel,15 kg/s Non-Parallel,20 kg/s Non-Parallel,25 kg/s Non-Parallel,30 kg/s Non-Parallel,35 kg/s Non-Parallel,40 kg/s Non-Parallel,45 kg/s Non-Parallel,50 kg/s Non-Parallel
4.744075815138503316e+01,1.011634270764663057e+02,1.603130272882218605e+02,2.245142757529693824e+02,2.935294330363544759e+02,3.671885319891216568e+02,4.453619072247807367e+02,5.279465111978711320e+02,6.148581071368773792e+02,7.060263954841643681e+02,4.241625432250497596e+01,9.485507955014310255e+01,1.555423367699198138e+02,2.236072864317081041e+02,2.984669583733585796e+02,3.796901757186486748e+02,4.669406336549660637e+02,5.599470321911269366e+02,6.584852794573783967e+02,7.623669777559723570e+02
4.741590986951748476e+01,1.010634562398461043e+02,1.600864718532059499e+02,2.241082401088260667e+02,2.928894625442512734e+02,3.662585554218226207e+02,4.440842218321986934e+02,5.262617956124955754e+02,6.127054526879722971e+02,7.033433496070733781e+02,4.238050500905554685e+01,9.472652841312367400e+01,1.552769938452644567e+02,2.231682287749329703e+02,2.978210321500577606e+02,3.788059732345315638e+02,4.657871961137218477e+02,5.584929994291950379e+02,6.566983281397684777e+02,7.602134516689925476e+02
4.739410226929602032e+01,1.009757159589489248e+02,1.598876206908632298e+02,2.237518215068950269e+02,2.923276219169354704e+02,3.654419807274181267e+02,4.429621225006491159e+02,5.247819069562286813e+02,6.108140575225451130e+02,7.009853114908262341e+02,4.234909041727783574e+01,9.461349999273315348e+01,1.550436728040354240e+02,2.227822633862796806e+02,2.972535127916209490e+02,3.780296430997348693e+02,4.647752903937804376e+02,5.572184749100705403e+02,6.551333470169251996e+02,7.583290362041240087e+02
4.737485874300053013e+01,1.008982896839863059e+02,1.597121347442171952e+02,2.234372549403190362e+02,2.918316964623990657e+02,3.647211010940926030e+02,4.419713512007029976e+02,5.234749624003898134e+02,6.091433281039462599e+02,6.989018806985557148e+02,4.232133827315305297e+01,9.451359762975776846e+01,1.548374309526805348e+02,2.224411739845540126e+02,2.967522122145638264e+02,3.773443235082696674e+02,4.638826584916867546e+02,5.560950533124788535e+02,6.537550004625923066e+02,7.566706500832632400e+02
4.735779253175989112e+01,1.008296220622686974e+02,1.595564922483651173e+02,2.231582367968865981e+02,2.913917678830204636e+02,3.640815343834527198e+02,4.410921979818732552e+02,5.223150470640580352e+02,6.076602560506083819e+02,6.970520569662392063e+02,4.229670155346481408e+01,9.442486913842471097e+01,1.546542423866643219e+02,2.221382731394854204e+02,2.963072215169853507e+02,3.767363242414788260e+02,4.630912544404954474e+02,5.550997364372365155e+02,6.525347161555511093e+02,7.552034985860861980e+02
4.734258714068590024e+01,1.007684402305532814e+02,1.594178107396546977e+02,2.229096068611466990e+02,2.909997151135029867e+02,3.635115013585985935e+02,4.403085149927655948e+02,5.212809221944219189e+02,6.063377789090924352e+02,6.954022121433844177e+02,4.227473152971394654e+01,9.434571157852880674e+01,1.544908014345430445e+02,2.218680732595823599e+02,2.959104178801824219e+02,3.761944364594396575e+02,4.623863223462421956e+02,5.542137432848336402e+02,6.514491896126467054e+02,7.538992337844409803e+02
4.732898155941139606e+01,1.007136944130842693e+02,1.592937126972898341e+02,2.226871082052118993e+02,2.906488372946603818e+02,3.630012803067854747e+02,4.396069711519103862e+02,5.203550482096101177e+02,6.051535398951165234e+02,6.939245550249036114e+02,4.225505733739652214e+01,9.427479898188931884e+01,1.543443735424907857e+02,2.216260373296533146e+02,2.955550916550704414e+02,3.757094116855811308e+02,4.617557016398147312e+02,5.534216147641313910e+02,6.504792604674631775e+02,7.527345735691202435e+02
4.731675898628571275e+01,1.006645125973366959e+02,1.591822230086124250e+02,2.224872039053988431e+02,2.903335658871716305e+02,3.625427904546120885e+02,4.389764826028666107e+02,5.195228378361231307e+02,6.040889393209802165e+02,6.925959566934620852e+02,4.223737032772351085e+01,9.421102692556138436e+01,1.542126809519576796e+02,2.214083880368143298e+02,2.952356612610685147e+02,3.752735641635056822e+02,4.611892977155063136e+02,5.527105325424097373e+02,6.496090586226682717e+02,7.516902534485839169e+02
4.730573813819078310e+01,1.006201655998374349e+02,1.590816899266936275e+02,2.223069357195735165e+02,2.900492426294332518e+02,3.621292705538468226e+02,4.384077731183854212e+02,5.187720794181077508e+02,6.031284018412520709e+02,6.913970427192107309e+02,4.222141196513585726e+01,9.415346961254188329e+01,1.540938141945388793e+02,2.212119601561478248e+02,2.949474530223318993e+02,3.748804642753104304e+02,4.606786744329675685e+02,5.520697954530412517e+02,6.488253487307184741e+02,7.507502226738965874e+02
4.729576648989829835e+01,1.005800398866029042e+02,1.589907235645827654e+02,2.221438140956514644e+02,2.897919466756237057e+02,3.617550285780207560e+02,4.378930316402962717e+02,5.180924874819563684e+02,6.022588051579028843e+02,6.903114850891952301e+02,4.220696438209766654e+01,9.410134633804383952e+01,1.539861629517071151e+02,2.210340853409552437e+02,2.946865295630369133e+02,3.745246999333455733e+02,4.602167374351776061e+02,5.514904131514955452e+02,6.481170220874962524e+02,7.499010217934949196e+02
